id;profession;createdAt;updatedAt
190;аппаратчик напыления стекловолокнистых материалов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
191;аппаратчик насыщения;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
192;аппаратчик нейтрализации;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
193;аппаратчик никелирования стеклоткани;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
194;аппаратчик нитрования;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
195;аппаратчик нитрозирования;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
196;аппаратчик нитрозного процесса;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
197;аппаратчик обезвоживания;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
198;аппаратчик обезвоживания битума;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
199;аппаратчик обезвоздушивания и фильтрации;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
200;аппаратчик обезжиривания;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
201;аппаратчик обезжиривания сиропов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
202;аппаратчик обеззоливания, мягчения;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
203;аппаратчик обессоливания воды;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
204;аппаратчик обесфеноливания и обеспиридинивания масел;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
205;аппаратчик обжига;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
206;аппаратчик облагораживания гексола;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
207;аппаратчик облучения жира;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
208;аппаратчик обогащения золотосодержащих руд;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
209;аппаратчик обработки;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
210;аппаратчик обработки зерна;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
211;аппаратчик окисления;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
212;аппаратчик окраски квасцов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
213;аппаратчик оксимирования;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
214;аппаратчик оксихлорирования;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
215;аппаратчик омыления;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
216;аппаратчик оплавления;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
217;аппаратчик опреснительных установок;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
218;аппаратчик ориентации органического стекла;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
219;аппаратчик осаждения;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
220;аппаратчик осаждения глютена;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
221;аппаратчик осушки газа;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
222;аппаратчик отбеливания;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
223;аппаратчик отверждения;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
224;аппаратчик отделки и сушки химической нити;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
225;аппаратчик отжига кристаллов корунда;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
226;аппаратчик отжига хрома;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
227;аппаратчик отжима;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
228;аппаратчик отстаивания;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
229;аппаратчик охлаждения;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
230;аппаратчик охлаждения молочных продуктов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
231;аппаратчик очистки алмазного концентрата;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
232;аппаратчик очистки газа;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
233;аппаратчик очистки жидкости;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
234;аппаратчик очистки сточных вод;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
235;аппаратчик парафинирования ткани;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
236;аппаратчик пароводотермического агрегата;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
237;аппаратчик пастеризации;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
238;аппаратчик перегонки;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
239;аппаратчик перегонки и ректификации спирта;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
240;аппаратчик перегревания;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
241;аппаратчик переработки отходов химического производства;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
242;аппаратчик переэтерификации;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
